,簡稱
1,鴻海         
2,台塑化       
4,聯發科       
10,宏達電       
11,廣達         
13,宏碁         
14,台灣大       
18,仁寶         
23,矽品         
24,遠傳         
25,正新         
26,鴻準         
27,緯創         
34,聯強         
37,統一超       
43,聯詠         
44,旺宏         
48,裕民         
50,英業達       
53,健鼎         
54,創見         
55,遠雄         
56,大聯大       
59,洋華         
60,群光         
64,新普         
68,和泰         
71,群聯         
83,中光電       
87,興富發       
88,巨大         
93,長興         
97,瑞軒         
101,南港         
102,榮化         
103,佳能         
109,台橡         
115,華晶科       
118,中保         
119,新日興       
120,威剛         
130,創意         
137,中鼎         
138,士電         
139,建大         
144,中碳         
145,台船         
146,光洋科       
147,閎暉         
150,華固         
152,兆赫         
153,台航         
160,信義         
163,英華達       
165,鈊象         
166,華擎         
170,廣明         
172,神基         
173,晶技         
174,台表科       
177,建漢         
180,普安         
182,致新         
185,訊連         
192,國喬         
199,志超         
